Runs,BF,SR,Inns,Ranking index,Ground Index,RF,LF,RAM,LAM,LAO,OB,LB
50,51,98.03,2,1,4,1,0,1,0,0,0,1
75,84,89.28,1,3,4,0,1,0,0,1,1,1
64,68,94.11,1,4,4,1,0,0,0,0,1,1
121,119,101.68,2,5,4,1,0,0,0,0,1,1
124,99,125.25,2,3,4,1,1,1,0,0,1,0
41,41,100,2,5,4,1,1,0,0,0,1,1
51,69,73.91,1,3,4,0,0,1,0,0,1,1
66,74,89.18,2,5,4,1,0,0,0,1,1,1
64,77,83.11,2,4,4,1,1,1,0,1,0,1
19,43,44.18,2,3,1,1,0,1,1,1,0,0
43,50,86,2,3,1,1,0,1,1,1,0,0
51,81,62.96,1,3,1,1,0,1,1,1,0,0
15,34,44.11,1,3,1,1,0,0,1,0,1,0
0,3,0,1,3,1,1,0,0,0,0,0,0
4,7,57.14,2,3,1,1,0,0,0,0,1,0
19,25,76,1,2,3,0,0,1,0,0,1,1
96,109,88.07,2,2,3,0,0,1,0,0,1,1
30,42,71.42,2,2,3,0,0,1,0,0,1,1
10,15,66.66,2,3,1,1,1,1,0,0,0,1
20,36,55.55,1,3,1,1,1,1,0,0,0,1
30,36,83.33,1,3,1,1,1,1,0,0,0,1
77,64,120.31,1,4,5,1,1,1,0,1,1,0
0,6,0,1,4,5,1,0,0,0,0,0,0
18,20,90,2,4,5,1,0,0,0,1,0,0
29,38,76.31,2,5,1,1,0,1,0,1,0,0
8,20,40,1,5,1,1,0,0,0,0,1,0
43,50,86,2,5,1,1,0,0,0,1,0,0
